ticker,date,pre_price_raw,post_price_raw,factor_applied_to_history_before_date,raw_logret,implied_ratio
UGPA3,2007-05-07,32.1,50.44,1.57134,0.4519,1:1.57
UGPA3,2019-04-18,44.47,22.63,0.508882,-0.6755,1.97:1
USIM5,2007-11-28,124.99,88.01,0.704136,-0.3508,1.42:1
USIM5,2010-09-28,45.0,23.1,0.513333,-0.6668,1.95:1
VALE3,2004-08-19,171.11,58.1,0.339548,-1.0801,2.95:1
VALE3,2006-05-22,105.81,52.0,0.491447,-0.7104,2.03:1
VALE3,2007-09-03,96.98,48.96,0.504846,-0.6835,1.98:1
VAMO3,2021-08-16,61.71,14.1,0.228488,-1.4763,4.38:1
VIVT3,2025-04-15,51.0,25.46,0.499216,-0.6947,2.00:1
WEGE3,2015-04-01,31.8,16.15,0.507862,-0.6775,1.97:1
WEGE3,2021-04-28,74.02,36.5,0.49311,-0.707,2.03:1
