,Equal Weight
2021-03-24,-0.01780346202541256
2021-03-25,0.016994672409944026
2021-03-26,0.006087284847489862
2021-03-29,0.004530824574732017
2021-03-30,0.018300118879761844
2021-03-31,-0.0014511043327453976
2021-04-01,-0.014758435337615327
2021-04-05,0.01688147916542724
2021-04-06,0.005293697977850407
2021-04-07,0.001510786558586757
2021-04-08,0.008235885459200001
2021-04-09,-0.0015661605325232929
2021-04-12,0.010658720543895243
2021-04-13,0.00210894675516932
2021-04-14,0.005064112985907731
2021-04-15,0.002018156050550378
2021-04-16,0.004833776584365209
2021-04-19,-0.004366524024846395
2021-04-20,-0.0036626396869262196
2021-04-22,-0.003548599016547616
2021-04-23,0.006419026361252652
2021-04-26,0.0008734649973517134
2021-04-27,-0.009720384526355775
2021-04-28,0.006477286226058213
2021-04-29,-0.004807376521686429
2021-04-30,-0.010318044904614673
2021-05-03,-0.0028922923902467918
2021-05-04,-0.010137382933472217
2021-05-05,0.014534999403989439
2021-05-06,-7.481015184661869e-05
2021-05-07,0.016537823351261045
2021-05-10,-0.0007976372404963407
2021-05-11,0.006897887705503963
2021-05-12,-0.029435214285637685
2021-05-13,0.00993512356723433
2021-05-14,0.01044947062584269
2021-05-17,0.00876992129203754
2021-05-18,-0.0008699732793703302
2021-05-19,0.0006874926053392554
2021-05-20,0.0016005387565598069
2021-05-21,-0.003425338311888628
2021-05-24,0.009231015394203953
2021-05-25,-0.0011260862738125751
2021-05-26,0.0030495146877815467
2021-05-27,0.008544005275671592
2021-05-28,0.003840006137385617
2021-05-31,0.0028958285012975755
2021-06-01,0.018169655776733514
2021-06-02,0.006767550909966465
2021-06-04,0.006631638811718831
2021-06-07,0.003957245030361457
2021-06-08,-0.009234526484069801
2021-06-09,-0.002436157469245626
2021-06-10,0.007213288159447476
2021-06-11,-0.007685834865166417
2021-06-14,0.008783519602888017
2021-06-15,0.00029230909650040845
2021-06-16,-0.008037279750052544
2021-06-17,-0.010136011696453694
2021-06-18,0.0008287513220670607
2021-06-21,0.008535444007525293
2021-06-22,-0.0045148697735882875
2021-06-23,-0.004056988872325606
2021-06-24,0.006931513521740024
2021-06-25,-0.02034876285564422
2021-06-28,0.003017718484945653
2021-06-29,-0.005304101266903747
2021-06-30,-0.005464976561927865
2021-07-01,-0.006437143175930311
2021-07-02,0.01381965537327981
2021-07-05,-0.0021358707587187543
2021-07-06,-0.014996501218163281
2021-07-07,0.012654026616016107
2021-07-08,-0.014141377789028192
2021-07-12,0.018211930771409895
2021-07-13,0.003387509801833198
2021-07-14,0.0013265715382165246
2021-07-15,-0.00908885862433472
2021-07-16,-0.009698039592175196
2021-07-19,-0.010864295923020186
2021-07-20,0.007997529341293195
2021-07-21,0.0033125695898139377
2021-07-22,0.003695311271680059
2021-07-23,-0.009943647347338802
2021-07-26,0.0031395372530884148
2021-07-27,-0.011835834064533483
2021-07-28,0.010011941710839937
2021-07-29,-0.004455031938503464
2021-07-30,-0.025356612941429397
2021-08-02,0.006575633882595622
2021-08-03,0.002004800534154012
2021-08-04,-0.011267554939188273
2021-08-05,-0.009814405522349643
2021-08-06,0.00837425080306132
2021-08-09,0.005031700485712456
2021-08-10,-0.007419337050008833
2021-08-11,0.0002889253451005474
2021-08-12,-0.015421988187221963
2021-08-13,0.004149992816100694
2021-08-16,-0.01952217115013085
2021-08-17,-0.01418090346839363
2021-08-18,-0.006203522442394868
2021-08-19,0.01423471656462521
2021-08-20,0.01135997575637215
2021-08-23,-0.0027940896978977175
2021-08-24,0.022209790556405533
2021-08-25,0.0076862989737362
2021-08-26,-0.020383419655343803
2021-08-27,0.014659690553027231
2021-08-30,-0.00764960750911694
2021-08-31,-0.0064399440867617804
2021-09-01,0.004913438620262236
2021-09-02,-0.023910529066766002
2021-09-03,0.00040364240847053345
2021-09-06,0.012193755075909514
2021-09-08,-0.038745668765482855
2021-09-09,0.022761429085921683
2021-09-10,-0.00640939681401634
2021-09-13,0.019538994653280305
2021-09-14,-0.0010356179228198984
2021-09-15,-0.005849557581512505
2021-09-16,-0.007550975960477279
2021-09-17,-0.017799095413576157
2021-09-20,-0.020722935575180075
2021-09-21,0.01107856693886282
2021-09-22,0.016287963367691394
2021-09-23,0.015796554409943892
2021-09-24,-0.0025036920882502796
2021-09-27,0.0005144679973439156
